Race Date	Race No.	Race Course	Distance	Field Going	Race Name	Course Type	Race Money	Pla.	Horse No.	Horse	Jockey	Trainer	Act. Wt.	Declare. Horse Wt.	Dr.	LBW	Running Position	Finish Time	Win Odds
2022/12/18	1	ST	第五班 - 1400米 - (40-0)	好地	六福珠寶HEXICON讓賽	"草地 - ""C+3"" 賽道"	HK$ 810,000	1	2	喜悅精靈(E388)	潘頓	賀賢	135	1200	8	-	10 11 11 1	1:22.80	2.6
2022/12/18	1	ST	第五班 - 1400米 - (40-0)	好地	六福珠寶HEXICON讓賽	"草地 - ""C+3"" 賽道"	HK$ 810,000	2	5	勇敢動力(D153)	布文	告東尼	129	1206	12	1-3/4	13 13 14 2	1:23.06	8.5
2022/12/18	1	ST	第五班 - 1400米 - (40-0)	好地	六福珠寶HEXICON讓賽	"草地 - ""C+3"" 賽道"	HK$ 810,000	3	3	合夥贛勁(D051)	何澤堯	蘇偉賢	134	1230	6	2-1/2	9 10 10 3	1:23.20	7.4
2022/12/18	1	ST	第五班 - 1400米 - (40-0)	好地	六福珠寶HEXICON讓賽	"草地 - ""C+3"" 賽道"	HK$ 810,000	4	6	安寶(E407)	蘇兆輝	黎昭昇	127	1093	10	3	12 12 12 4	1:23.26	42
2022/12/18	1	ST	第五班 - 1400米 - (40-0)	好地	六福珠寶HEXICON讓賽	"草地 - ""C+3"" 賽道"	HK$ 810,000	5	7	創高峰(D136)	希威森	苗禮德	126	1225	3	3-1/4	2 3 3 5	1:23.33	6
2022/12/18	1	ST	第五班 - 1400米 - (40-0)	好地	六福珠寶HEXICON讓賽	"草地 - ""C+3"" 賽道"	HK$ 810,000	6	14	請讓路(E035)	波健士	丁冠豪	115	1037	7	4-1/4	4 8 9 6	1:23.48	21
2022/12/18	1	ST	第五班 - 1400米 - (40-0)	好地	六福珠寶HEXICON讓賽	"草地 - ""C+3"" 賽道"	HK$ 810,000	7	1	天使獵人(G193)	田泰安	文家良	135	1119	2	4-1/4	7 5 4 7	1:23.48	21
2022/12/18	1	ST	第五班 - 1400米 - (40-0)	好地	六福珠寶HEXICON讓賽	"草地 - ""C+3"" 賽道"	HK$ 810,000	8	11	非凡膽識(E031)	周俊樂	葉楚航	121	1110	4	4-1/4	8 7 6 8	1:23.48	39
2022/12/18	1	ST	第五班 - 1400米 - (40-0)	好地	六福珠寶HEXICON讓賽	"草地 - ""C+3"" 賽道"	HK$ 810,000	9	13	合金之星(D053)	麥利奧	容天鵬	120	1081	11	5-3/4	11 9 8 9	1:23.73	47
2022/12/18	1	ST	第五班 - 1400米 - (40-0)	好地	六福珠寶HEXICON讓賽	"草地 - ""C+3"" 賽道"	HK$ 810,000	10	8	奇妙之春(E293)	潘明輝	徐雨石	124	1224	1	6-1/4	3 1 1 10	1:23.79	38
